  151: "Ornitholestes" (Ornitholestes hermanni)
  152: "Compsognathus" (Compsognathus longipes)
  153: "Guanlong" (Guanlong wucaii)
  154: "Proceratosaurus" (Proceratosaurus bradleyi)
  155: "Metriacanthosaurus" (Metriacanthosaurus parkeri)
  157: "Eustreptospondylus" (Eustreptospondylus oxoniensis)
  158: "Piatnitzkysaurus" (Piatnitzkysaurus floresi)
  159: "Marshosaurus" (Marshosaurus bicentesimus)
  160: "Stokesosaurus" (Stokesosaurus clevelandi)
  161: "Tanycolagreus" (Tanycolagreus topwilsoni)
  162: "Sciurumimus" (Sciurumimus albersdoerferi)
  163: "Juravenator" (Juravenator starki)
  165: "Diplodocus" (Diplodocus carnegii)
  166: "Apatosaurus" (Apatosaurus ajax)
  167: "Brontosaurus" (Brontosaurus excelsus)
  168: "Camarasaurus" (Camarasaurus supremus)
  169: "Giraffatitan" (Giraffatitan brancai)
  170: "Barosaurus" (Barosaurus lentus)
  171: "Dicraeosaurus" (Dicraeosaurus hansemanni)
  174: "Omeisaurus" (Omeisaurus junghsiensis)
  175: "Vulcanodon" (Vulcanodon karibaensis)
  176: "Patagosaurus" (Patagosaurus fariasi)
  177: "Cetiosaurus" (Cetiosaurus oxoniensis)
  178: "Spinophorosaurus" (Spinophorosaurus nigerensis)
  179: "Haplocanthosaurus" (Haplocanthosaurus priscus)
  180: "Supersaurus" (Supersaurus vivianae)
  181: "Suuwassea" (Suuwassea emilieae)
  182: "Jobaria" (Jobaria tiguidensis)
  183: "Bellusaurus" (Bellusaurus sui)
  185: "Dryosaurus" (Dryosaurus altus)
  186: "Camptosaurus" (Camptosaurus dispar)
  187: "Kentrosaurus" (Kentrosaurus aethiopicus)
  189: "Scutellosaurus" (Scutellosaurus lawleri)
  190: "Scelidosaurus" (Scelidosaurus harrisonii)
  192: "Gargoyleosaurus" (Gargoyleosaurus parkpinorum)
  193: "Othnielosaurus" (Othnielosaurus consors)
  194: "Lesothosaurus" (Lesothosaurus diagnosticus)
  196: "Hexinlusaurus" (Hexinlusaurus multidens)
  197: "Chialingosaurus" (Chialingosaurus kuani)
  198: "Tuojiangosaurus" (Tuojiangosaurus multispinus)
  199: "Dacentrurus" (Dacentrurus armatus)
  200: "Miragaia" (Miragaia longicollum)
  201: "Hesperosaurus" (Hesperosaurus mjosi)
  202: "Fruitadens" (Fruitadens haagarorum)
  203: "Nanosaurus" (Nanosaurus agilis)
  204: "Rhamphorhynchus" (Rhamphorhynchus muensteri)
  205: "Dimorphodon" (Dimorphodon macronyx)
  206: "Pterodactylus" (Pterodactylus antiquus)
  207: "Anurognathus" (Anurognathus ammoni)
  210: "Scaphognathus" (Scaphognathus crassirostris)
  211: "Sordes" (Sordes pilosus)
  212: "Darwinopterus" (Darwinopterus modularis)
  213: "Wukongopterus" (Wukongopterus lii)
  214: "Kunpengopterus" (Kunpengopterus sinensis)
  215: "Ctenochasma" (Ctenochasma roemeri)
  216: "Gnathosaurus" (Gnathosaurus subulatus)
  217: "Cycnorhamphus" (Cycnorhamphus suevicus)
  218: "Germanodactylus" (Germanodactylus cristatus)
  219: "Pterorhynchus" (Pterorhynchus wellnhoferi)
  220: "Harpactognathus" (Harpactognathus gentryii)
  221: "Mesadactylus" (Mesadactylus ornithosphyos)
  222: "Jianchangnathus" (Jianchangnathus robustus)
  223: "Fenghuangopterus" (Fenghuangopterus lii)
  224: "Liopleurodon" (Liopleurodon ferox)
  225: "Plesiosaurus" (Plesiosaurus dolichodeirus)
  226: "Ichthyosaurus" (Ichthyosaurus communis)
  227: "Ophthalmosaurus" (Ophthalmosaurus icenicus)
  228: "Cryptoclidus" (Cryptoclidus eurymerus)
  229: "Rhomaleosaurus" (Rhomaleosaurus cramptoni)
  230: "Macroplata" (Macroplata tenuiceps)
  231: "Peloneustes" (Peloneustes philarchus)
  232: "Pliosaurus" (Pliosaurus brachydeirus)
  233: "Simolestes" (Simolestes vorax)
  234: "Temnodontosaurus" (Temnodontosaurus platyodon)
  237: "Excalibosaurus" (Excalibosaurus costini)
  238: "Morganucodon" (Morganucodon watsoni)
  239: "Castorocauda" (Castorocauda lutrasimilis)
  240: "Volaticotherium" (Volaticotherium antiquum)
  241: "Fruitafossor" (Fruitafossor windscheffeli)
  242: "Juramaia" (Juramaia sinensis)
  243: "Agilodocodon" (Agilodocodon scansorius)
