  476: "Einiosaurus" (Einiosaurus procurvicornis)
  477: "Achelousaurus" (Achelousaurus horneri)
  478: "Nasutoceratops" (Nasutoceratops titusi)
  481: "Edmontosaurus" (Edmontosaurus annectens)
  482: "Corythosaurus" (Corythosaurus casuarius)
  483: "Maiasaura" (Maiasaura peeblesorum)
  484: "Tsintaosaurus" (Tsintaosaurus spinorhinus)
  485: "Lambeosaurus" (Lambeosaurus lambei)
  487: "Ouranosaurus" (Ouranosaurus nigeriensis)
  488: "Saurolophus" (Saurolophus osborni)
  489: "Olorotitan" (Olorotitan arharensis)
  490: "Shantungosaurus" (Shantungosaurus giganteus)
  491: "Tenontosaurus" (Tenontosaurus tilletti)
  492: "Hypsilophodon" (Hypsilophodon foxii)
  493: "Thescelosaurus" (Thescelosaurus neglectus)
  495: "Edmontonia" (Edmontonia longiceps)
  496: "Borealopelta" (Borealopelta markmitchelli)
  497: "Euoplocephalus" (Euoplocephalus tutus)
  498: "Sauropelta" (Sauropelta edwardsorum)
  499: "Nodosaurus" (Nodosaurus textilis)
  501: "Tarchia" (Tarchia kielanae)
  502: "Polacanthus" (Polacanthus foxii)
  503: "Gastonia" (Gastonia burgei)
  504: "Pachycephalosaurus" (Pachycephalosaurus wyomingensis)
  505: "Stegoceras" (Stegoceras validum)
  509: "Argentinosaurus" (Argentinosaurus huinculensis)
  510: "Alamosaurus" (Alamosaurus sanjuanensis)
  511: "Saltasaurus" (Saltasaurus loricatus)
  512: "Amargasaurus" (Amargasaurus cazaui)
  513: "Dreadnoughtus" (Dreadnoughtus schrani)
  514: "Patagotitan" (Patagotitan mayorum)
  516: "Rapetosaurus" (Rapetosaurus krausei)
  518: "Magyarosaurus" (Magyarosaurus dacus)
  522: "Tupandactylus" (Tupandactylus imperator)
  523: "Pterodaustro" (Pterodaustro guinazui)
  524: "Nyctosaurus" (Nyctosaurus gracilis)
  525: "Ornithocheirus" (Ornithocheirus simus)
  526: "Anhanguera" (Anhanguera blittersdorffi)
  527: "Hatzegopteryx" (Hatzegopteryx thambema)
  528: "Azhdarcho" (Azhdarcho lancicollis)
  531: "Kronosaurus" (Kronosaurus queenslandicus)
  532: "Tylosaurus" (Tylosaurus proriger)
  533: "Aristonectes" (Aristonectes quiriquinensis)
  534: "Prognathodon" (Prognathodon solvayi)
  535: "Platecarpus" (Platecarpus tympaniticus)
  536: "Dolichorhynchops" (Dolichorhynchops osborni)
  537: "Archelon" (Archelon ischyros)
  538: "Deinosuchus" (Deinosuchus riograndensis)
  539: "Xiphactinus" (Xiphactinus audax)
  540: "Cretoxyrhina" (Cretoxyrhina mantelli)
  541: "Baculites" (Baculites compressus)
  542: "Jeletzkytes" (Jeletzkytes nebrascensis)
  543: "Tusoteuthis" (Tusoteuthis longa)
