  567: "Pikaia gracilens" (Pikaia gracilens)
  568: "Wiwaxia corrugata" (Wiwaxia corrugata)
  569: "Bothriolepis canadensis" (Bothriolepis canadensis)
  570: "Eusthenopteron foordi" (Eusthenopteron foordi)
  571: "Hylonomus lyelli" (Hylonomus lyelli)
  572: "Diplocaulus magnicornis" (Diplocaulus magnicornis)
  573: "Estemmenosuchus uralensis" (Estemmenosuchus uralensis)
  574: "Andrewsarchus mongoliensis" (Andrewsarchus mongoliensis)
  575: "Uintatherium anceps" (Uintatherium anceps)
  576: "Paraceratherium transouralicum" (Paraceratherium transouralicum)
  577: "Elasmotherium sibiricum" (Elasmotherium sibiricum)
  578: "Titanoboa cerrejonensis" (Titanoboa cerrejonensis)
  579: "Moeritherium lyonsi" (Moeritherium lyonsi)
  844: "Stygimoloch" (Stygimoloch spinifer)
  845: "Dracorex" (Dracorex hogwartsia)
  882: "Rajasaurus narmadensis" (Rajasaurus narmadensis)
  884: "Indosuchus" (Indosuchus raptorius)
  922: "Vasuki" (Vasuki indicus)
  923: "Sivatherium" (Sivatherium giganteum)
  924: "Stegodon ganesa" (Stegodon ganesa)
